"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
542,Maxval-u Supermart - Premium Savusavu,"69",Alcoholic Beverage,"6903",Imported Wines,"534.0000","2599.8164","2392.4430","207.3734","7.9700","07/01/2022"
527,Maxval-u Supermart - Navua,"25",Homeware,"2515",Kitchen Series,"2.0000","26.5138","13.4690","13.0448","49.2000","07/01/2022"
511,MHCC Level 2 Homemaker,"26",China And Glassware,"2608",Giftware,"4.0000","10.8257","7.0480","3.7777","34.8900","01/01/2022"
537,Maxval-u Supermart - Rakiraki,"58",Food,"5847",Canned Fish,"1123.0000","2171.9450","1971.3650","200.5800","9.2300","07/01/2022"
532,Maxval-u Supermart - Tavua,"60",Beverages,"6002",Beverage Hot - Coffee,"49.0000","97.5688","61.5750","35.9938","36.8900","06/01/2022"
527,Maxval-u Supermart - Navua,"58",Food,"5818",Seasoning,"3.0000","15.0000","9.6900","5.3100","35.4000","04/01/2022"
514,MHCC Level 1 Supermarket,"60",Beverages,"6002",Beverage Hot - Coffee,"65.0000","248.4405","174.8728","73.5677","29.6100","06/01/2022"
551,MH  Superfresh,"58",Food,"5837",Confectionery,"152.0000","273.2019","202.6160","70.5859","25.8300","04/01/2022"
532,Maxval-u Supermart - Tavua,"70",Tobacco,"7001",Tobacco,"16.0000","159.4496","151.4460","8.0036","5.0100","05/01/2022"
531,Maxval-u Supermart - Ba,"63",Frozen,"6305",Frozen Vegetables,"28.0000","64.9082","48.0730","16.8352","25.9300","06/01/2022"
551,MH  Superfresh,"58",Food,"5821",Canned Meat,"142.0000","526.8807","492.4000","34.4807","6.5400","04/01/2022"
578,MH Levuka,"70",Tobacco,"7001",Tobacco,"161.0000","1628.1650","1518.6310","109.5340","6.7200","06/01/2022"
532,Maxval-u Supermart - Tavua,"58",Food,"5819",Baked Bean / Spaghetti,"7.0000","14.8165","11.3470","3.4695","23.4100","06/01/2022"
519,MHCC Quick Stop,"60",Beverages,"6002",Beverage Hot - Coffee,"14.0000","6.4220","1.8480","4.5740","71.2200","04/01/2022"
543,Maxval-u Supermart - Somosomo,"58",Food,"5837",Confectionery,"15.0000","19.9540","13.0540","6.9000","34.5700","06/01/2022"
517,Maxval-u Supermart - Flagstaff,"63",Frozen,"6305",Frozen Vegetables,"31.0000","54.8622","44.2380","10.6242","19.3600","06/01/2022"
532,Maxval-u Supermart - Tavua,"58",Food,"5839",Salt,"13.0000","9.1009","8.6410","0.4599","5.0500","02/01/2022"
512,Maxval-u Supermart - City Homemaker,"66",Fruit,"6620",Local Fruits,"0.8300","5.7156","4.5650","1.1506","20.1300","01/01/2022"
581,Maxval-u Supermart - Valelevu,"58",Food,"5821",Canned Meat,"72.0000","270.6239","253.0400","17.5839","6.4900","03/01/2022"
521,Maxval-u Supermart - Hypermarket,"26",China And Glassware,"2608",Giftware,"11.0000","29.7706","16.6910","13.0796","43.9300","07/01/2022"
523,Maxval-u Supermart - Sigatoka,"63",Frozen,"6305",Frozen Vegetables,"27.0000","66.3762","51.5080","14.8682","22.3900","07/01/2022"
578,MH Levuka,"60",Beverages,"6002",Beverage Hot - Coffee,"15.0000","29.5412","19.9200","9.6212","32.5600","07/01/2022"
523,Maxval-u Supermart - Sigatoka,"58",Food,"5839",Salt,"82.0000","56.4311","53.1260","3.3051","5.8500","07/01/2022"
521,Maxval-u Supermart - Hypermarket,"58",Food,"5819",Baked Bean / Spaghetti,"14.0000","24.4037","18.6860","5.7177","23.4200","04/01/2022"
521,Maxval-u Supermart - Hypermarket,"26",China And Glassware,"2605",Drinkware,"2.0000","1.7431","1.2240","0.5191","29.7800","03/01/2022"
578,MH Levuka,"29",School & Office,"2908",Files/ Folders And Recordables,"1.0000","1.0092","0.4500","0.5592","55.4100","06/01/2022"
